"DistanceKm","SciencePotential","SafetyPotential","SciencePoints","SafetyPoints","TotalPoints"
"0","0","0","0","0","0"
"0.01","0","0","0","0","0"
"0.02","0","0","0","0","0"
"0.03","0","0","0","0","0"
"0.04","0","0","0","0","0"
"0.05","0","0","0","0","0"
"0.06","0","0","0","0","0"
"0.07","0","0","0","0","0"
"0.08","0","0","0","0","0"
"0.09","0","0","0","0","0"
"0.1","0","0","0","0","0"
"0.11","0","0","0","0","0"
"0.12","0","0","0","0","0"
"0.13","0","0","0","0","0"
"0.14","0","0","0","0","0"
"0.15","0","0","0","0","0"
"0.16","0","0","0","0","0"
"0.17","0","0","0","0","0"
"0.18","0","0","0","0","0"
"0.19","0","0","0","0","0"
"0.2","0","0","0","0","0"
"0.21","0","0","0","0","0"
"0.22","0","0","0","0","0"
"0.23","0","0","0","0","0"
"0.24","0","0","0","0","0"
"0.25","0","0","0","0","0"
"0.26","0","0","0","0","0"
"0.27","0","0","0","0","0"
"0.28","0","0","0","0","0"
"0.29","0","0","0","0","0"
"0.3","0","0","0","0","0"
"0.31","0","0","0","0","0"
"0.32","0","0","0","0","0"
"0.33","0","0","0","0","0"
"0.34","0","0","0","0","0"
"0.35","0","0","0","0","0"
"0.36","0","0","0","0","0"
"0.37","0","0","0","0","0"
"0.38","0","0","0","0","0"
"0.39","0","0","0","0","0"
"0.4","0","0","0","0","0"
"0.41","0","0","0","0","0"
"0.42","0.973446901082556","0","48.6723450541278","0","48.6723450541278"
"0.43","0.974342884320645","0","48.7171442160322","0","48.7171442160322"
"0.44","0.975224088532363","0","48.7612044266182","0","48.7612044266182"
"0.45","0.97609047214037","0","48.8045236070185","0","48.8045236070185"
"0.46","0.976941994241756","0","48.8470997120878","0","48.8470997120878"
"0.47","0.97777861461126","0","48.888930730563","0","48.888930730563"
"0.48","0.978600293704438","0","48.9300146852219","0","48.9300146852219"
"0.49","0.979406992660776","0","48.9703496330388","0","48.9703496330388"
"0.5","0.980198673306755","0","49.0099336653378","0","49.0099336653378"
"0.51","0.98097529815886","0","49.048764907943","0","49.048764907943"
"0.52","0.981736830426536","0","49.0868415213268","0","49.0868415213268"
"0.53","0.982483234015097","0","49.1241617007549","0","49.1241617007549"
"0.54","0.983214473528573","0","49.1607236764286","0","49.1607236764286"
"0.55","0.983930514272508","0","49.1965257136254","0","49.1965257136254"
"0.56","0.984631322256707","0","49.2315661128353","0","49.2315661128353"
"0.57","0.985316864197919","0","49.265843209896","0","49.265843209896"
"0.58","0.985987107522477","0","49.2993553761239","0","49.2993553761239"
"0.59","0.986642020368875","0","49.3321010184437","0","49.3321010184437"
"0.6","0.987281571590291","0","49.3640785795145","0","49.3640785795145"
"0.61","0.987905730757057","0","49.3952865378528","0","49.3952865378528"
"0.62","0.988514468159074","0","49.4257234079537","0","49.4257234079537"
"0.63","0.989107754808166","0","49.4553877404083","0","49.4553877404083"
"0.64","0.98968556244038","0","49.484278122019","0","49.484278122019"
"0.65","0.990247863518235","0","49.5123931759117","0","49.5123931759117"
"0.66","0.990794631232902","0","49.5397315616451","0","49.5397315616451"
"0.67","0.991325839506343","0","49.5662919753171","0","49.5662919753171"
"0.68","0.991841462993374","0","49.5920731496687","0","49.5920731496687"
"0.69","0.992341477083689","0","49.6170738541845","0","49.6170738541845"
